Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
FAMILY,4.3,19,2.5M,"1,000+",Free,0,Teen,Entertainment
GAME,3.8,141,19M,"10,000+",Free,0,Everyone,Arcade
PRODUCTIVITY,4.4,162831,43M,"5,000,000+",Free,0,Everyone,Productivity
HEALTH_AND_FITNESS,4.8,10,4.0M,10+,Free,0,Everyone,Health & Fitness
TOOLS,4.5,1034,196k,"5,000+",Paid,$4.99,Everyone,Tools
TOOLS,4.4,16192,1.6M,"1,000,000+",Free,0,Everyone,Tools
PRODUCTIVITY,,1,5.1M,10+,Free,0,Teen,Productivity
FAMILY,4.3,2250,30M,"100,000+",Free,0,Everyone,Education
GAME,4.4,8921451,63M,"100,000,000+",Free,0,Everyone,Racing
WEATHER,4.4,1312037,Varies with device,"10,000,000+",Free,0,Everyone,Weather
SPORTS,4.4,670,3.1M,"10,000+",Free,0,Everyone,Sports
MAPS_AND_NAVIGATION,,10,7.8M,100+,Free,0,Everyone,Maps & Navigation
PRODUCTIVITY,4.5,75140,Varies with device,"1,000,000+",Free,0,Everyone,Productivity
FINANCE,4.4,3780,11M,"100,000+",Free,0,Everyone,Finance
DATING,1.9,954,19M,"100,000+",Free,0,Mature 17+,Dating
TOOLS,5.0,36,3.2M,100+,Free,0,Teen,Tools
FAMILY,4.0,403,39M,"50,000+",Free,0,Teen,Education
PHOTOGRAPHY,4.3,28578,23M,"10,000,000+",Free,0,Everyone,Photography
TOOLS,4.4,138872,22M,"10,000,000+",Free,0,Everyone,Tools
FAMILY,5.0,7,22M,100+,Free,0,Everyone,Education
PERSONALIZATION,4.1,62209,7.4M,"10,000,000+",Free,0,Everyone,Personalization
FAMILY,3.8,4,13M,100+,Free,0,Everyone,Education
SPORTS,4.2,80900,21M,"1,000,000+",Free,0,Everyone,Sports
NEWS_AND_MAGAZINES,4.0,17240,Varies with device,"1,000,000+",Free,0,Everyone 10+,News & Magazines
TOOLS,,0,46M,500+,Free,0,Everyone,Tools
SOCIAL,4.3,9562,5.8M,"500,000+",Free,0,Teen,Social
COMMUNICATION,,10,5.3M,500+,Free,0,Everyone,Communication
SOCIAL,3.6,14835,Varies with device,"1,000,000+",Free,0,Teen,Social
EDUCATION,4.3,656,556k,"10,000+",Free,0,Everyone,Education
BUSINESS,4.8,726,5.4M,"1,000+",Paid,$3.99,Everyone,Business
BOOKS_AND_REFERENCE,,1,8.8M,10+,Paid,$5.99,Everyone,Books & Reference
TOOLS,4.9,55,25M,"1,000+",Free,0,Everyone,Tools
FAMILY,,0,42M,10+,Free,0,Mature 17+,Entertainment
DATING,3.0,1,5.5M,500+,Free,0,Mature 17+,Dating
GAME,4.3,54221,47M,"1,000,000+",Free,0,Everyone,Racing
LIFESTYLE,3.4,4082,318k,"500,000+",Free,0,Everyone,Lifestyle
TRAVEL_AND_LOCAL,4.4,134895,50M,"10,000,000+",Free,0,Everyone,Travel & Local
GAME,3.7,1221896,70M,"100,000,000+",Free,0,Everyone,Action
SHOPPING,4.7,68,6.5M,"10,000+",Free,0,Everyone,Shopping
SPORTS,4.1,585564,33M,"10,000,000+",Free,0,Everyone,Sports
MEDICAL,3.8,534,14M,"100,000+",Free,0,Everyone,Medical
FAMILY,4.1,133,48M,"10,000+",Free,0,Everyone,Casual
MEDICAL,4.4,15,39M,"1,000+",Free,0,Everyone,Medical
TOOLS,2.2,876,8.7M,"1,000,000+",Free,0,Everyone,Tools
FAMILY,4.3,11618,39M,"5,000,000+",Free,0,Everyone,Educational;Education
FINANCE,4.3,129304,Varies with device,"5,000,000+",Free,0,Everyone,Finance
BOOKS_AND_REFERENCE,4.2,8,3.9M,"5,000+",Free,0,Everyone,Books & Reference
PERSONALIZATION,,1,3.3M,100+,Free,0,Everyone,Personalization
SHOPPING,3.9,671,3.6M,"100,000+",Free,0,Everyone,Shopping
FAMILY,4.0,174127,48M,"5,000,000+",Free,0,Teen,Simulation
GAME,4.3,1300619,78M,"50,000,000+",Free,0,Everyone,Puzzle
FAMILY,4.4,623398,58M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games
SPORTS,4.6,9873470,74M,"100,000,000+",Free,0,Everyone,Sports
BOOKS_AND_REFERENCE,,3,4.0M,100+,Free,0,Everyone,Books & Reference
MEDICAL,4.6,625,8.4M,"10,000+",Paid,$3.99,Everyone,Medical
GAME,4.6,7672495,Varies with device,"100,000,000+",Free,0,Mature 17+,Action
COMMUNICATION,4.6,191032,26M,"5,000,000+",Free,0,Everyone,Communication
FINANCE,4.0,142,6.2M,"10,000+",Free,0,Everyone,Finance
BOOKS_AND_REFERENCE,4.4,2709,6.8M,"1,000,000+",Free,0,Everyone,Books & Reference
SPORTS,4.6,539,Varies with device,"10,000+",Free,0,Everyone,Sports
TOOLS,5.0,5,3.8M,500+,Free,0,Everyone,Tools
FAMILY,3.5,174,5.6M,"50,000+",Free,0,Everyone,Entertainment
MEDICAL,3.7,3,7.7M,"5,000+",Free,0,Everyone,Medical
MEDICAL,,0,5.0M,1+,Paid,$0.99,Everyone,Medical
COMMUNICATION,4.3,258556,Varies with device,"10,000,000+",Free,0,Everyone,Communication
FAMILY,4.5,227,15M,"50,000+",Free,0,Everyone,Educational;Education
WEATHER,4.5,3478,6.1M,"500,000+",Free,0,Everyone,Weather
SHOPPING,3.6,38,1.1M,"10,000+",Free,0,Everyone,Shopping
FAMILY,4.2,20,1.6M,"5,000+",Free,0,Everyone,Education
FINANCE,4.5,64983,39M,"1,000,000+",Free,0,Everyone,Finance
COMMUNICATION,,0,17M,10+,Free,0,Everyone,Communication
BEAUTY,,0,3.7M,500+,Free,0,Everyone,Beauty
LIFESTYLE,4.3,33572,37M,"1,000,000+",Free,0,Everyone,Lifestyle
TOOLS,3.0,4,2.0M,"1,000+",Free,0,Everyone,Tools
FAMILY,4.2,8,44M,"1,000+",Paid,$3.99,Everyone,Education;Pretend Play
COMICS,4.5,1013635,Varies with device,"10,000,000+",Free,0,Teen,Comics
NEWS_AND_MAGAZINES,3.0,29,37M,"5,000+",Free,0,Everyone 10+,News & Magazines
GAME,4.4,18652,63M,"100,000+",Paid,$2.99,Everyone,Board
MEDICAL,3.7,3,10.0M,100+,Free,0,Everyone,Medical
EDUCATION,4.5,172505,76M,"5,000,000+",Free,0,Everyone,Education;Education
COMMUNICATION,3.7,7,4.3M,500+,Free,0,Everyone,Communication
LIFESTYLE,4.2,23164,10.0M,"1,000,000+",Free,0,Mature 17+,Lifestyle
GAME,4.2,32849,1.5M,"1,000,000+",Free,0,Everyone,Word
GAME,4.3,771001,52M,"50,000,000+",Free,0,Everyone 10+,Action
FAMILY,4.3,906,9.2M,"50,000+",Free,0,Mature 17+,Entertainment
FAMILY,4.4,36,24M,"10,000+",Free,0,Everyone,Simulation
FAMILY,,1,13M,100+,Free,0,Everyone,Entertainment
PERSONALIZATION,4.5,4,511k,50+,Free,0,Everyone,Personalization
COMMUNICATION,4.6,2264916,6.1M,"50,000,000+",Free,0,Everyone,Communication
DATING,4.8,125,4.7M,"5,000+",Free,0,Mature 17+,Dating
SOCIAL,4.2,1259723,76M,"50,000,000+",Free,0,Mature 17+,Social
FAMILY,4.5,2634605,63M,"10,000,000+",Free,0,Everyone,Role Playing
SHOPPING,4.2,857923,18M,"50,000,000+",Free,0,Everyone,Shopping
HEALTH_AND_FITNESS,2.2,4,28M,"1,000+",Free,0,Everyone,Health & Fitness
FINANCE,4.2,2695,Varies with device,"100,000+",Free,0,Everyone,Finance
COMICS,3.2,93965,15M,"5,000,000+",Free,0,Teen,Comics
GAME,4.4,17988,7.9M,"100,000+",Paid,$4.99,Teen,Adventure
VIDEO_PLAYERS,,2,1.5M,10+,Free,0,Everyone,Video Players & Editors
MAPS_AND_NAVIGATION,4.3,12,2.6M,100+,Free,0,Everyone,Maps & Navigation
FAMILY,4.1,7,22M,500+,Free,0,Everyone,Entertainment
FAMILY,4.4,218881,37M,"5,000,000+",Free,0,Everyone 10+,Role Playing
FAMILY,4.5,6673,4.4M,"500,000+",Free,0,Everyone,Puzzle
PHOTOGRAPHY,4.0,33439,3.9M,"5,000,000+",Free,0,Everyone,Photography
HEALTH_AND_FITNESS,3.3,20098,25M,"10,000,000+",Free,0,Everyone,Health & Fitness
PERSONALIZATION,4.3,111634,13M,"5,000,000+",Free,0,Everyone,Personalization
GAME,4.2,74902,Varies with device,"5,000,000+",Free,0,Everyone,Racing
FAMILY,4.8,21,49M,"1,000+",Free,0,Everyone,Role Playing
PERSONALIZATION,,1,3.4M,10+,Free,0,Everyone,Personalization
SHOPPING,4.3,213735,43M,"10,000,000+",Free,0,Everyone,Shopping
FAMILY,3.6,783,25M,"50,000+",Free,0,Teen,Entertainment
FAMILY,,20,3.2M,"10,000+",Free,0,Everyone,Education
GAME,3.9,6988,35M,"100,000+",Free,0,Everyone 10+,Racing
BUSINESS,,0,55M,50+,Free,0,Everyone,Business
MEDICAL,4.1,90,21M,"1,000+",Free,0,Everyone,Medical
GAME,4.5,27725352,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade
NEWS_AND_MAGAZINES,,0,62M,10+,Free,0,Mature 17+,News & Magazines
MAPS_AND_NAVIGATION,4.5,53562,60M,"1,000,000+",Free,0,Everyone,Maps & Navigation
PRODUCTIVITY,4.6,27,2.5M,"1,000+",Free,0,Everyone,Productivity
PERSONALIZATION,4.7,114851,20M,"10,000,000+",Free,0,Everyone,Personalization
COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",Free,0,Everyone,Communication
SOCIAL,4.6,22,8.7M,"1,000+",Free,0,Teen,Social
FINANCE,4.4,281635,Varies with device,"5,000,000+",Free,0,Everyone,Finance
